Time (CAT);Open;High;Low;Close;Volume 
18/12/2015 00:00:00;1.08264;1.08398;1.0826;1.08353;2439.08
18/12/2015 01:00:00;1.08353;1.0846;1.08304;1.08431;2862.17
18/12/2015 02:00:00;1.08431;1.0844;1.08329;1.0838;5273.63
18/12/2015 03:00:00;1.0838;1.0841;1.08303;1.08339;5127.35
18/12/2015 04:00:00;1.08339;1.08447;1.08303;1.0838;4014.71
18/12/2015 05:00:00;1.0838;1.08482;1.08283;1.08398;6499.55
18/12/2015 06:00:00;1.08397;1.08538;1.08359;1.08469;10482.76
18/12/2015 07:00:00;1.08469;1.08541;1.08455;1.08519;8834.51
18/12/2015 08:00:00;1.08518;1.08637;1.08477;1.08616;7735.46
18/12/2015 09:00:00;1.08618;1.08687;1.08536;1.0868;12909.75
18/12/2015 10:00:00;1.08673;1.08686;1.08052;1.08286;17072.95
18/12/2015 11:00:00;1.08286;1.08302;1.0808;1.08238;14536.68
18/12/2015 12:00:00;1.08239;1.08334;1.08177;1.0821;9921.67
18/12/2015 13:00:00;1.08211;1.08337;1.08171;1.08315;9803.17
18/12/2015 14:00:00;1.08316;1.08418;1.08251;1.0836;11846.84
18/12/2015 15:00:00;1.08361;1.08465;1.08154;1.08169;15176.51
18/12/2015 16:00:00;1.08168;1.08361;1.08088;1.08357;17235.05
18/12/2015 17:00:00;1.08358;1.08637;1.08336;1.08446;18758.81
18/12/2015 18:00:00;1.08448;1.08499;1.08385;1.08458;13500.11
18/12/2015 19:00:00;1.08457;1.0848;1.08367;1.0837;8433.85
18/12/2015 20:00:00;1.08372;1.0844;1.08334;1.0839;6268.8
18/12/2015 21:00:00;1.08391;1.08667;1.08372;1.0865;6188.38
18/12/2015 22:00:00;1.08652;1.08749;1.08598;1.08735;6949.04
18/12/2015 23:00:00;1.08732;1.08736;1.0864;1.08716;3243.05
21/12/2015 00:00:00;1.08595;1.08654;1.08517;1.08568;2457.63
21/12/2015 01:00:00;1.08565;1.08757;1.08565;1.08699;4550.78
21/12/2015 02:00:00;1.08699;1.08725;1.08617;1.08694;6691.2
21/12/2015 03:00:00;1.08694;1.08832;1.0869;1.08718;7085.43
21/12/2015 04:00:00;1.08718;1.0875;1.0865;1.08664;5442
21/12/2015 05:00:00;1.08665;1.08674;1.08645;1.08674;5447.77
21/12/2015 06:00:00;1.08673;1.08716;1.08665;1.08705;5108.21
21/12/2015 07:00:00;1.08704;1.08749;1.08671;1.08736;6395.07
21/12/2015 08:00:00;1.08736;1.08819;1.08708;1.08736;5579.4
21/12/2015 09:00:00;1.08735;1.08834;1.08646;1.0871;8934.87
21/12/2015 10:00:00;1.08711;1.08823;1.08509;1.08582;13973.97
21/12/2015 11:00:00;1.08581;1.08622;1.08508;1.08541;10779.68
21/12/2015 12:00:00;1.08541;1.08671;1.08481;1.08665;10980.55
21/12/2015 13:00:00;1.08664;1.0872;1.08619;1.08645;9226.99
21/12/2015 14:00:00;1.08648;1.08677;1.0856;1.08624;8722.81
